Date/Time,Swimming Distance (yd),Source
2022-01-06 09:27:13,2,Alan’s Apple Watch
2022-01-06 09:27:14,2,Alan’s Apple Watch
2022-01-06 09:27:15,2,Alan’s Apple Watch
2022-01-06 09:27:16,1.97,Alan’s Apple Watch
2022-01-06 09:28:15,0.875,Alan’s Apple Watch
2022-01-06 09:28:16,1.06,Alan’s Apple Watch
2022-01-06 09:28:17,1.06,Alan’s Apple Watch
2022-01-06 09:28:18,1.06,Alan’s Apple Watch
2022-01-06 09:28:19,1.06,Alan’s Apple Watch
2022-01-06 09:28:20,1.06,Alan’s Apple Watch
2022-01-06 09:28:21,1.06,Alan’s Apple Watch
2022-01-06 09:28:22,1.06,Alan’s Apple Watch
2022-01-06 09:28:23,1.06,Alan’s Apple Watch
2022-01-06 09:28:24,1.06,Alan’s Apple Watch
2022-01-06 09:28:25,1.06,Alan’s Apple Watch
2022-01-06 09:28:26,1.06,Alan’s Apple Watch
2022-01-06 09:28:27,1.06,Alan’s Apple Watch
2022-01-06 09:28:28,1.06,Alan’s Apple Watch
2022-01-06 09:28:29,1.06,Alan’s Apple Watch
2022-01-06 09:28:30,1.06,Alan’s Apple Watch
2022-01-06 09:28:31,1.06,Alan’s Apple Watch
2022-01-06 09:28:32,1.06,Alan’s Apple Watch
2022-01-06 09:28:33,1.06,Alan’s Apple Watch
2022-01-06 09:28:34,1.06,Alan’s Apple Watch
2022-01-06 09:28:35,1.06,Alan’s Apple Watch
2022-01-06 09:28:36,1.06,Alan’s Apple Watch
2022-01-06 09:28:37,1.06,Alan’s Apple Watch
2022-01-06 09:28:38,0.805,Alan’s Apple Watch
2022-01-06 09:28:39,1.04,Alan’s Apple Watch
2022-01-06 09:28:40,1.56,Alan’s Apple Watch
2022-01-06 09:28:41,1.56,Alan’s Apple Watch
2022-01-06 09:28:42,1.56,Alan’s Apple Watch
2022-01-06 09:28:43,1.56,Alan’s Apple Watch
2022-01-06 09:28:44,1.56,Alan’s Apple Watch
2022-01-06 09:28:45,1.56,Alan’s Apple Watch
2022-01-06 09:28:46,1.56,Alan’s Apple Watch
2022-01-06 09:28:47,1.56,Alan’s Apple Watch
2022-01-06 09:28:48,1.56,Alan’s Apple Watch
2022-01-06 09:28:49,1.56,Alan’s Apple Watch
2022-01-06 09:28:50,1.56,Alan’s Apple Watch
2022-01-06 09:28:51,1.56,Alan’s Apple Watch
2022-01-06 09:28:52,1.56,Alan’s Apple Watch
